Found 9654 errors in 830 files.

Errors  Files
     1  src/integrations/checkpoints/CheckpointUtils.ts:23
     1  src/integrations/diagnostics/index.ts:15
     4  src/integrations/editor/DiffViewProvider.ts:6
     3  src/integrations/misc/export-markdown.ts:1
     3  src/integrations/misc/extract-text.ts:2
     4  src/integrations/misc/link-preview.ts:1
     1  src/integrations/misc/open-file.ts:13
     1  src/integrations/notifications/index.ts:1
     4  src/integrations/refactor/RefactorOverlayProvider.ts:19
     1  src/integrations/terminal/get-latest-output.ts:34
     3  src/integrations/terminal/TerminalManager.ts:1
     7  src/integrations/terminal/TerminalProcess.test.ts:1
     9  src/integrations/terminal/TerminalProcess.ts:77
     6  src/integrations/theme/getTheme.ts:1
     2  src/lib/exportGraph.ts:1
     3  src/lib/replaySnapshot.ts:1
     1  src/lib/simulateEvents.ts:1
     6  src/managers/WebviewManager.spec.ts:1
     3  src/mas/agent/__tests__/mas-dispatcher.toggle.test.ts:1
     4  src/mas/agent/mas-dispatcher.ts:8
     2  src/mas/core/__tests__/AgentManager.test.ts:1
     2  src/mas/core/__tests__/CoordinatorAgent.example.test.ts:1
    72  src/mas/core/__tests__/MASOrchestrator.test.ts:1
     1  src/mas/core/__tests__/MemoryManager.test.ts:6
     6  src/mas/core/fallback/__tests__/AdaptiveFallbackStrategy.e2e.test.ts:1
     9  src/mas/core/fallback/__tests__/AdaptiveFallbackStrategy.test.ts:1
     4  src/mas/core/fallback/__tests__/LLMEventBus.test.ts:1
    85  src/mas/core/fallback/__tests__/LLMFallbackManager.test.ts:1
     9  src/mas/core/fallback/LLMEventBus.ts:30
    12  src/mas/core/fallback/LLMFallbackManager.ts:2
    12  src/mas/core/fallback/strategies/__tests__/adaptive-conditions.test.ts:3
    20  src/mas/core/fallback/strategies/__tests__/AdaptiveFallbackStrategy.test.ts:1
     7  src/mas/core/fallback/strategies/__tests__/CompositeFallbackStrategy.test.ts:1
     1  src/mas/core/fallback/strategies/__tests__/FallbackStrategyFactory.test.ts:12
     4  src/mas/core/fallback/strategies/__tests__/PreferredFallbackStrategy.test.ts:1
     5  src/mas/core/fallback/strategies/__tests__/ReliabilityFallbackStrategy.test.ts:1
     3  src/mas/core/fallback/strategies/__tests__/RoundRobinFallbackStrategy.test.ts:1
     1  src/mas/core/fallback/strategies/adaptive-conditions.ts:6
     4  src/mas/core/fallback/strategies/AdaptiveFallbackStrategy.ts:7
     2  src/mas/core/fallback/strategies/CompositeFallbackStrategy.ts:8
     1  src/mas/core/fallback/strategies/FallbackStrategy.ts:7
     2  src/mas/core/fallback/strategies/FallbackStrategyFactory.ts:124
     5  src/mas/core/fallback/strategies/PreferredFallbackStrategy.ts:8
     4  src/mas/core/fallback/strategies/ReliabilityFallbackStrategy.ts:8
     5  src/mas/core/fallback/strategies/RoundRobinFallbackStrategy.ts:8
     3  src/mas/core/fallback/TelemetryTracker.ts:1
     7  src/mas/core/MASOrchestrator.test.ts:1
    12  src/mas/core/MASOrchestrator.ts:3
     1  src/mas/engine/PromptEngine.ts:7
     7  src/mas/MasManager.ts:2
     2  src/mas/MasStateManager.ts:10
     1  src/mas/metrics/provider-score-manager.ts:1
     2  src/mas/providers/provider-registry-stub.ts:9
     5  src/mas/providers/provider-registry.test.ts:2
    23  src/mas/providers/provider-registry.ts:6
     3  src/mas/services/MasPersistenceService.ts:225
    18  src/mas/services/TaskQueueMessageHandler.ts:9
     8  src/mas/services/TaskQueueService.ts:2
     1  src/mas/store/AgentStore.ts:7
     1  src/mas/strategy/agent-strategy-router.ts:1
     7  src/mas/TaskQueueManager.ts:1
    10  src/mitigator/index.ts:8
     3  src/providers/__tests__/JarvisProvider.test.ts:1
     7  src/providers/__tests__/LLMRouter.test.ts:1
    50  src/providers/__tests__/provider-registry.test.ts:1
    10  src/providers/BaseLLMProvider.ts:6
    16  src/providers/llm-orchestrator.ts:10
     4  src/providers/LLMOrchestrator.ts:8
     2  src/providers/LLMRouter.ts:12
     2  src/providers/local/GGUFProvider.ts:129
     4  src/providers/local/LMDeployProvider.ts:7
     8  src/providers/local/LMStudioProvider.ts:7
     4  src/providers/local/OllamaProvider.ts:7
     6  src/providers/openai-provider.ts:8
     1  src/providers/openai/config.ts:4
    11  src/providers/openai/openai-provider.ts:1
     6  src/providers/openai/openaiProvider.spec.ts:1
     6  src/providers/openai/openaiProvider.test.ts:1
     1  src/providers/openrouter-message.ts:2
     8  src/providers/OpenRouterProvider.ts:1
     6  src/providers/provider-registry.ts:9
     7  src/providers/provider-scoring.ts:7
     3  src/providers/remote/__tests__/OpenAIProvider.test.ts:1
     2  src/providers/remote/__tests__/OpenRouterProvider.test.ts:1
     5  src/providers/remote/AnthropicProvider.ts:7
     8  src/providers/remote/GoogleAIProvider.ts:147
     8  src/providers/remote/GroqProvider.ts:7
     8  src/providers/remote/MistralProvider.ts:7
    12  src/providers/remote/OpenAIProvider.ts:7
     7  src/providers/remote/OpenRouterProvider.ts:14
     3  src/router/__tests__/state.test.ts:1
     5  src/router/guards.ts:1
     4  src/router/handlers.ts:1
     1  src/router/state.ts:117
     6  src/scripts/__tests__/fix-imports.test.ts:1
     5  src/scripts/benchmark-import.ts:19
     6  src/scripts/fix-imports-integration.test.ts:9
    25  src/scripts/fix-imports.test.ts:2
     4  src/services/AgentManager.ts:231
     5  src/services/browser/BrowserSession.ts:4
     4  src/services/browser/UrlContentFetcher.ts:4
     2  src/services/glob/list-files.ts:1
     2  src/services/lmstudio/LMStudioService.ts:1
     5  src/services/mcp/__tests__/mcpDispatcher.test.ts:1
    15  src/services/mcp/core/navigation/exploratory.test.ts:2
     5  src/services/mcp/core/navigation/exploratory.ts:1
    16  src/services/mcp/core/navigation/hybrid.test.ts:2
     3  src/services/mcp/core/navigation/hybrid.ts:3
    16  src/services/mcp/core/navigation/semantic.test.ts:2
     5  src/services/mcp/core/navigation/semantic.ts:1
     7  src/services/mcp/handlers/__tests__/contextGraphExportHandler.test.ts:1
    22  src/services/mcp/handlers/__tests__/contextNavigateHandler.test.ts:1
    30  src/services/mcp/handlers/__tests__/contextSearchByTagsHandler.test.ts:1
    23  src/services/mcp/handlers/__tests__/contextTagHandler.test.ts:1
    22  src/services/mcp/handlers/askDocsHandler.ts:215
     1  src/services/mcp/handlers/codeGenerateHandler.ts:16
     4  src/services/mcp/handlers/configLinter.test.ts:1
    13  src/services/mcp/handlers/configLinter.ts:1
    23  src/services/mcp/handlers/contextClearHandler.ts:2
     4  src/services/mcp/handlers/contextEditHandler.ts:1
     4  src/services/mcp/handlers/contextExportHandler.ts:1
     6  src/services/mcp/handlers/contextGraphExportHandler.ts:1
     7  src/services/mcp/handlers/contextGraphHandler.ts:1
    11  src/services/mcp/handlers/contextImportHandler.ts:1
     9  src/services/mcp/handlers/contextInjectHandler.ts:4
     6  src/services/mcp/handlers/contextLinkHandler.ts:1
     4  src/services/mcp/handlers/contextLinksOfHandler.ts:1
    23  src/services/mcp/handlers/contextListHandler.ts:20
    25  src/services/mcp/handlers/contextNavigateHandler.test.ts:1
    81  src/services/mcp/handlers/contextNavigateHandler.ts:8
    30  src/services/mcp/handlers/contextSearchByTagsHandler.ts:2
    13  src/services/mcp/handlers/contextTagHandler.ts:2
     5  src/services/mcp/handlers/contextUnlinkHandler.ts:1
    10  src/services/mcp/handlers/directoryScanner.test.ts:1
     3  src/services/mcp/handlers/directoryScanner.ts:1
     5  src/services/mcp/handlers/errorResolver.ts:1
     3  src/services/mcp/handlers/fileSummarizer.ts:2
     6  src/services/mcp/handlers/fsFormatHandler.ts:353
     5  src/services/mcp/handlers/fsWriteHandler.ts:40
    10  src/services/mcp/handlers/projectDepGraphHandler.ts:40
     6  src/services/mcp/handlers/projectLintHandler.ts:43
     4  src/services/mcp/handlers/readFileHandler.test.ts:1
     2  src/services/mcp/handlers/readFileHandler.ts:45
     5  src/services/mcp/handlers/refactorSnippetHandler.ts:84
     2  src/services/mcp/handlers/searchDocsHandler.test.ts:1
     4  src/services/mcp/handlers/searchDocsHandler.ts:5
    10  src/services/mcp/handlers/testRunHandler.ts:28
     2  src/services/mcp/mcp.types.ts:95
     9  src/services/mcp/McpDispatcher.ts:8
    10  src/services/mcp/McpHub.ts:1
     9  src/services/mcp/run-server.ts:8
     8  src/services/mcp/test-script.ts:24
    29  src/services/mcp/toolsListServer.ts:9
     1  src/services/mcp/utils/navigationGraph.test.ts:7
     3  src/services/mcp/utils/navigationGraph.ts:8
     1  src/services/ripgrep/index.ts:6
     6  src/services/settings/SettingsManager.test.ts:12
    25  src/services/settings/SettingsManager.ts:4
    15  src/services/TaskQueueService.ts:3
     1  src/services/telemetry/TelemetryService.ts:1
     3  src/services/TelemetryService.ts:1
     1  src/services/themeManager.ts:107
     5  src/services/tree-sitter/index.ts:6
     7  src/services/tree-sitter/languageParser.ts:3
    14  src/shared/__tests__/__mocks__/vscode.ts:5
     4  src/shared/__tests__/api.types.test.ts:8
     8  src/shared/__tests__/modelValidator.test.ts:1
     4  src/shared/__tests__/schema-coverage.spec.ts:1
     1  src/shared/__tests__/setup.ts:5
    14  src/shared/__tests__/validators.more.test.ts:1
    11  src/shared/__tests__/validators.test.ts:1
     2  src/shared/api.ts:6
     3  src/shared/array.test.ts:4
     2  src/shared/array.ts:1
     3  src/shared/ChatContent.ts:6
     2  src/shared/ChatContentHelpers.ts:6
     9  src/shared/combineApiRequests.ts:2
    10  src/shared/combineCommandSequences.ts:2
    14  src/shared/ExtensionMessage.ts:14
     3  src/shared/HistoryItem.ts:1
     3  src/shared/mcp.ts:1
     1  src/shared/messages/__tests__/api-messages.test.ts:146
     2  src/shared/messages/api-messages.ts:1
    21  src/shared/messages/extension-messages.ts:2
     2  src/shared/messages/guards.ts:1
     1  src/shared/messages/guards/__tests__/apiMessageGuards.spec.ts:1
     8  src/shared/messages/guards/__tests__/isApiMessageType.test.ts:270
     1  src/shared/messages/guards/__tests__/prompt-messages.test.ts:3
     1  src/shared/messages/guards/apiMessageGuards.ts:1
     1  src/shared/messages/guards/isApiMessage.ts:5
     8  src/shared/messages/guards/isApiMessageType.ts:3
     1  src/shared/messages/guards/isPromptMessage.ts:2
     3  src/shared/messages/guards/prompt-messages.ts:1
     8  src/shared/messages/guards/promptMessageGuards.ts:1
     2  src/shared/messages/guards/websocketMessageGuards.ts:79
     6  src/shared/messages/handlers/__tests__/mas-handlers.test.ts:1
     6  src/shared/messages/handlers/__tests__/mcp-handlers.test.ts:1
     9  src/shared/messages/handlers/__tests__/prompt-handlers.test.ts:1
    11  src/shared/messages/handlers/__tests__/telemetry-handlers.test.ts:1
   144  src/shared/messages/index.ts:8
    30  src/shared/protocols/convertToWebviewMessage.ts:6
    11  src/shared/protocols/validateWebviewMessage.test.ts:24
     8  src/shared/settings.ts:1
     4  src/shared/typeGuards.ts:20
     2  src/shared/types/__tests__/extensionMessageUnion.test.ts:6
     1  src/shared/types/__tests__/websocketMessageUnion.spec.ts:12
     7  src/shared/types/api.types.ts:7
     1  src/shared/types/audit-message.ts:9
     8  src/shared/types/auth-message-guards.ts:1
     1  src/shared/types/base-message.ts:1
     1  src/shared/types/blacklist-message.ts:11
     2  src/shared/types/chat.ts:1
    10  src/shared/types/chat.types.ts:13
     1  src/shared/types/common.ts:76
     3  src/shared/types/convertToWebviewMessage.test.ts:1
     5  src/shared/types/extension-message.ts:9
     1  src/shared/types/fallback-message.ts:11
     4  src/shared/types/global.ts:8
     2  src/shared/types/guards.ts:1
    39  src/shared/types/index.ts:5
    20  src/shared/types/llm.types.ts:8
     3  src/shared/types/mas-message.ts:7
     1  src/shared/types/masMessageUnion.ts:1
     1  src/shared/types/mcp-connection-message.ts:11
     7  src/shared/types/message-adapter.ts:6
     1  src/shared/types/message-union.ts:1
     1  src/shared/types/message-utils.ts:1
     2  src/shared/types/message.types.ts:72
     1  src/shared/types/messages-barrel.ts:23
    20  src/shared/types/messages.ts:71
     3  src/shared/types/profile-message-guards.ts:1
     2  src/shared/types/profile-message.ts:9
     1  src/shared/types/prompt-history-message.ts:11
     1  src/shared/types/prompt-message.ts:1
     1  src/shared/types/prompt.ts:7
     1  src/shared/types/provider-message.ts:11
     1  src/shared/types/provider-stats.ts:1
     4  src/shared/types/provider.types.ts:4
     1  src/shared/types/session.ts:66
     1  src/shared/types/settings.types.ts:2
     1  src/shared/types/strategy-message.ts:11
     1  src/shared/types/telemetry-message.ts:9
     9  src/shared/types/test-utils.types.ts:3
     1  src/shared/types/websocketMessageUnion.ts:1
     1  src/shared/types/webview-message.ts:145
    17  src/shared/types/webview.types.test.ts:1
     7  src/shared/types/webview.types.ts:357
     1  src/shared/types/webviewMessageUnion.test.ts:15
     7  src/shared/types/webviewMessageUnion.ts:19
     3  src/shared/utils/safeHandler.ts:76
     2  src/shared/utils/sanitize.ts:30
     6  src/shared/utils/zodMessageGuards.ts:115
    29  src/shared/validators.ts:10
     8  src/shared/validators/__tests__/contextValidator.test.ts:1
     9  src/shared/validators/__tests__/modelValidator.test.ts:1
     6  src/shared/validators/contextValidator.ts:6
    37  src/shared/validators/modelValidator.ts:6
    15  src/storage/benchmark/BenchmarkStorage.ts:6
    13  src/stories/FallbackAuditPanel.stories.tsx:2
    11  src/stories/FallbackChartPanel.stories.tsx:2
    14  src/stories/FallbackMonitorPanel.stories.tsx:2
    17  src/test/extension.test.ts:1
     4  src/test/fileOperations.test.ts:1
     1  src/test/helpers/test-utils.ts:3
     3  src/test/JarvisAgentTest.ts:8
     1  src/test/setup-vitest.ts:3
     6  src/test/setup.ts:37
     1  src/test/shell.test.ts:1
     5  src/test/suite/extension.test.ts:1
     4  src/test/suite/fileOperations.test.ts:1
     6  src/test/suite/index.ts:7
    12  src/test/suite/modelLoader.test.ts:1
    30  src/test/unit/shared/types/api.types.spec.ts:7
     1  src/test/vitest.setup.ts:2
     1  src/test/webview/chat-native.test.ts:4
     9  src/tests/e2e/JarvisAPI.test.ts:1
     3  src/types/chat.test.ts:14
     1  src/types/chat.types.ts:5
     3  src/types/ChatMessage.ts:34
     4  src/types/extension.test.ts:3
     2  src/types/extension.ts:1
     1  src/types/extension.types.ts:3
    12  src/types/global.test.ts:49
     1  src/types/global.ts:12
     8  src/types/messages.ts:7
     2  src/types/settings.types.ts:41
     4  src/utils/chatExport.ts:2
     2  src/utils/cn.ts:1
     6  src/utils/cost.ts:24
     3  src/utils/environment.ts:9
     1  src/utils/exportChat.ts:44
     9  src/utils/exporters.ts:6
    16  src/utils/exporters/__tests__/csv.test.ts:1
     9  src/utils/exporters/__tests__/html.test.ts:1
    10  src/utils/exporters/__tests__/importers.test.ts:1
     6  src/utils/exporters/__tests__/index.test.ts:1
     4  src/utils/exporters/__tests__/integration.test.ts:1
    13  src/utils/exporters/__tests__/markdown.test.ts:1
     2  src/utils/exporters/__tests__/sanitize.test.ts:145
     2  src/utils/exporters/csv.ts:1
    12  src/utils/exporters/examples/import-example.ts:9
     4  src/utils/exporters/examples/usage.ts:8
     5  src/utils/exporters/html.ts:12
    25  src/utils/exporters/importers.ts:7
     3  src/utils/exporters/index.ts:27
     3  src/utils/exporters/markdown.ts:11
     2  src/utils/exporters/sanitize.ts:6
     6  src/utils/exporters/serializers.ts:6
     2  src/utils/exporters/tests/sanitize.test.ts:91
     2  src/utils/exporters/types.ts:7
     6  src/utils/file.ts:16
     2  src/utils/logger.ts:1
     2  src/utils/mcp.ts:36
     1  src/utils/shell.test.ts:2
    14  src/utils/validateApiConfiguration.ts:2
     4  src/utils/VSCodeAPI.spec.ts:1
     6  src/visix/index.ts:2
     4  src/visix/visix.build.config.ts:1
     7  src/vscode/visix-plugin.ts:13
    12  src/webview-ui/providers/settingsProvider.test.tsx:1
     7  src/webview-ui/providers/settingsProvider.tsx:72
     3  src/webview-ui/settingsProvider.tsx:2
    18  src/webview-ui/src/components/ModelSelector/__tests__/ModelSelector.test.tsx:2
    10  src/webview-ui/src/components/ModelSelector/ModelSelector.tsx:2
    18  src/webview-ui/src/components/MultiAgentControl/MultiAgentControl.tsx:3
     7  src/webview-ui/src/components/PromptHistory/__tests__/PromptHistory.test.tsx:5
    19  src/webview-ui/src/components/PromptHistory/PromptHistory.tsx:3
     2  src/webview-ui/src/hooks/useExtensionMessage.ts:14
     1  src/webview-ui/types/WebviewMessageType.ts:39
     7  src/webview/components/__tests__/FirebaseAuthPanel.test.tsx:2
    13  src/webview/components/FirebaseAuthPanel.tsx:2
     5  src/webview/components/PromptEditor.tsx:2
    30  src/webview/components/SystemPromptEditor.tsx:1
    14  src/webview/components/ui/select.tsx:2
     4  src/webview/components/ui/switch.tsx:2
     5  src/webview/components/ui/tabs.tsx:2
     1  src/webview/components/ui/textarea.tsx:8
    23  src/webview/handlers/__tests__/WebviewMessageHandler.test.ts:1
     1  src/webview/handlers/BaseWebviewMessageHandler.ts:3
    18  src/webview/handlers/promptHandlers.ts:25
     6  src/webview/handlers/settingsHandlers.ts:35
    13  src/webview/handlers/TaskQueueMessageHandler.ts:123
    12  src/webview/handlers/WebviewMessageHandler.ts:11
     8  src/webview/index.test.tsx:1
     7  src/webview/McpView.test.tsx:4
    14  src/webview/McpView.tsx:1
     3  src/webview/messages/firebase-auth-message-guards.ts:1
     1  src/webview/messages/prompt-history-message-guards.ts:3
     1  src/webview/messages/webview-message.ts:2
     1  src/webview/utils/vscodeBridge.ts:80
     2  src/webview/vscode.ts:1
    27  src/webview/webview.test.tsx:1
    30  src/webview/webview.tsx:2
     2  src/webview/WebviewManager.ts:1
     2  src/webview/WebviewMessageHandler.ts:26
     1  webview-ui/src/__integration__/integration-helpers.mock.ts:10
     1  webview-ui/src/__integration__/integration-helpers.ts:8
     9  webview-ui/src/__integration__/resilience.test.ts:1
     4  webview-ui/src/__integration__/roundtrip.test.ts:1
    10  webview-ui/src/__integration__/type-validation.test.ts:20
     1  webview-ui/src/__mocks__/vscode.ts:116
    17  webview-ui/src/__tests__/AgentPanel.test.tsx:9
     8  webview-ui/src/__tests__/components/AgentFlowDebugger.snapshot.test.tsx:101
    25  webview-ui/src/__tests__/components/AgentFlowDebugger.test.tsx:87
    11  webview-ui/src/__tests__/components/AgentMemoryPanel.test.tsx:4
     1  webview-ui/src/__tests__/components/AgentPanel.test.tsx:1
    27  webview-ui/src/__tests__/components/AgentTogglePanel.test.tsx:9
     6  webview-ui/src/__tests__/components/debug/AgentFlowDebugger.test.tsx:7
    21  webview-ui/src/__tests__/components/MASMemoryPanel.test.tsx:8
    18  webview-ui/src/__tests__/components/MultiAgentControl.test.tsx:4
    13  webview-ui/src/__tests__/components/PromptHistory.test.tsx:4
    21  webview-ui/src/__tests__/components/RetryPanel.test.tsx:9
    17  webview-ui/src/__tests__/FirebaseAuth.test.tsx:9
     3  webview-ui/src/__tests__/i18n.test.ts:1
    16  webview-ui/src/__tests__/llm-orchestrator.multi.test.ts:1
    17  webview-ui/src/__tests__/llm-orchestrator.test.ts:1
     4  webview-ui/src/__tests__/messageUtils.test.ts:1
     5  webview-ui/src/__tests__/setupWebviewMocks.ts:94
    10  webview-ui/src/__tests__/useChatMessages.test.tsx:1
    15  webview-ui/src/__tests__/utils/WebSocketBridge.test.ts:1
    14  webview-ui/src/__tests__/WebviewBridge.test.ts:1
     6  webview-ui/src/agents/AgentEventBus.ts:1
    10  webview-ui/src/App.tsx:1
    20  webview-ui/src/components/__tests__/SuggestionsPanel.test.tsx:8
    47  webview-ui/src/components/account/AccountView.tsx:3
    34  webview-ui/src/components/account/CreditsHistoryTable.tsx:3
    44  webview-ui/src/components/AgentActivityMonitor.tsx:1
    65  webview-ui/src/components/AgentConfigurationPanel.tsx:3
    69  webview-ui/src/components/AgentDashboard.tsx:8
     1  webview-ui/src/components/AgentFlowDebugger.tsx:1
     1  webview-ui/src/components/AgentFlowTimeline.spec.tsx:1
